TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO;ESPECIAL
CORREDERA;1;2700;ROBLE;C.RB;1200;621,508;885,881;695,78;773;885,881;974,469
CORREDERA;1;2700;ROBLE;C.RB;1300;658,681;945,085;739,142;493;945,085;1039,594
CORREDERA;1;2700;ROBLE;C.RB;1400;674,493;982,929;761,144;508;982,929;1081,222
CORREDERA;1;2700;ROBLE;C.RB;1500;686,855;1.017,32;779,695;843;1.017,32;1119,052
CORREDERA;1;2500;ROBLE;C.RB;600;483,892;595,042;514,572;514,572;595,042;654,546
CORREDERA;1;2500;ROBLE;C.RB;700;498,129;627,804;533,923;533,923;627,804;690,584
CORREDERA;1;2500;ROBLE;C.RB;800;512,367;660,567;553,273;553,273;660,567;726,624
CORREDERA;1;2500;ROBLE;C.RB;900;538,956;705,681;584,976;584,976;705,681;776,249
CORREDERA;1;2500;ROBLE;C.RB;1000;553,193;738,443;604,327;604,327;738,443;812,287
CORREDERA;1;2500;ROBLE;C.RB;1100;598,602;822,993;661,641;661,641;822,993;905,292
CORREDERA;1;2500;ROBLE;C.RB;1200;613,852;858,642;682,622;682,622;858,642;944,506
CORREDERA;1;2500;ROBLE;C.RB;1300;650,463;915,652;724,963;724,963;915,652;1007,217
CORREDERA;1;2500;ROBLE;C.RB;1400;665,713;951,301;745,944;745,944;951,301;1046,431
CORREDERA;1;2500;ROBLE;C.RB;1500;680,963;986,95;766,925;766,925;986,95;1085,645
CORREDERA;1;2700;NOGAL;C.NG;600;508,595;640,781;545,73;545,73;640,781;704,859
CORREDERA;1;2700;NOGAL;C.NG;700;524,601;678,819;567,926;567,926;678,819;746,701
CORREDERA;1;2700;NOGAL;C.NG;800;540,608;716,857;590,122;590,122;716,857;788,543
CORREDERA;1;2700;NOGAL;C.NG;900;568,967;767,246;624,67;624,67;767,246;843,971
CORREDERA;1;2700;NOGAL;C.NG;1000;584,973;805,284;646,866;646,866;805,284;885,812
CORREDERA;1;2700;NOGAL;C.NG;1100;612,118;854,46;680,2;680,2;854,46;939,906
CORREDERA;1;2700;NOGAL;C.NG;1200;628,124;892,498;702,396;702,396;892,498;981,748
CORREDERA;1;2700;NOGAL;C.NG;1300;665,491;951,896;745,952;745,952;951,896;1047,086
CORREDERA;1;2700;NOGAL;C.NG;1400;681,498;989,933;768,148;768,148;989,933;1088,926
CORREDERA;1;2700;NOGAL;C.NG;1500;693,859;1.024,33;786,699;786,699;1.024,33;1126,763
CORREDERA;1;2500;NOGAL;C.NG;600;489,445;600,595;520,125;520,125;600,595;660,655
CORREDERA;1;2500;NOGAL;C.NG;700;503,892;633,567;539,685;539,685;633,567;696,924
CORREDERA;1;2500;NOGAL;C.NG;800;518,339;666,539;559,246;559,246;666,539;733,193
