TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO
ABATDOBMAG;6;2700;ROBLE;C.RB;1600;1342,092;1697,409;1441,912;1441,912;1697,409
ABATDOBMAG;6;2700;ROBLE;C.RB;1800;1376,851;1776,584;1489,148;1489,148;1776,584
ABATDOBMAG;6;2700;ROBLE;C.RB;2000;1411,609;1855,757;1536,386;1536,386;1855,757
ABATDOBMAG;6;2500;ROBLE;C.RB;1200;1209,969;1434,048;1271,82;1271,82;1434,048
ABATDOBMAG;6;2500;ROBLE;C.RB;1400;1240,954;1502,377;1313,111;1313,111;1502,377
ABATDOBMAG;6;2500;ROBLE;C.RB;1600;1271,935;1570,706;1354,403;1354,403;1570,706
ABATDOBMAG;6;2500;ROBLE;C.RB;1800;1302,918;1639,037;1395,694;1395,694;1639,037
ABATDOBMAG;6;2500;ROBLE;C.RB;2000;1333,901;1707,364;1436,988;1436,988;1707,364
ABATDOBMAG;6;2700;NOGAL;C.NG;1200;1305,704;1572,192;1380,568;1380,568;1572,192
ABATDOBMAG;6;2700;NOGAL;C.NG;1400;1341,441;1652,342;1428,783;1428,783;1652,342
ABATDOBMAG;6;2700;NOGAL;C.NG;1600;1377,176;1732,495;1476,998;1476,998;1732,495
ABATDOBMAG;6;2700;NOGAL;C.NG;1800;1412,915;1812,647;1525,213;1525,213;1812,647
ABATDOBMAG;6;2700;NOGAL;C.NG;2000;1448,652;1892,797;1573,428;1573,428;1892,797
ABATDOBMAG;6;2500;NOGAL;C.NG;1200;1241,334;1465,413;1303,185;1303,185;1465,413
ABATDOBMAG;6;2500;NOGAL;C.NG;1400;1273,294;1534,717;1345,452;1345,452;1534,717
ABATDOBMAG;6;2500;NOGAL;C.NG;1600;1305,252;1604,024;1387,722;1387,722;1604,024
ABATDOBMAG;6;2500;NOGAL;C.NG;1800;1337,215;1673,332;1429,991;1429,991;1673,332
ABATDOBMAG;6;2500;NOGAL;C.NG;2000;1369,175;1742,638;1472,258;1472,258;1742,638
ABATDOBMAG;6;2700;ESPECIAL;ESP;1200;1182,622;1475,758;1264,971;1264,971;1475,758
ABATDOBMAG;6;2700;ESPECIAL;ESP;1400;1218,188;1560,179;1314,265;1314,265;1560,179
ABATDOBMAG;6;2700;ESPECIAL;ESP;1600;1253,754;1644,601;1363,555;1363,555;1644,601
ABATDOBMAG;6;2700;ESPECIAL;ESP;1800;1289,316;1729,023;1412,847;1412,847;1729,023
ABATDOBMAG;6;2700;ESPECIAL;ESP;2000;1324,883;1813,444;1462,136;1462,136;1813,444
ABATDOBMAG;6;2500;ESPECIAL;ESP;1200;1119,107;1365,592;1187,142;1187,142;1365,592
ABATDOBMAG;6;2500;ESPECIAL;ESP;1400;1150,518;1438,086;1229,892;1229,892;1438,086
ABATDOBMAG;6;2500;ESPECIAL;ESP;1600;1181,931;1510,579;1272,643;1272,643;1510,579
ABATDOBMAG;6;2500;ESPECIAL;ESP;1800;1213,34;1583,071;1315,394;1315,394;1583,071
ABATDOBMAG;6;2500;ESPECIAL;ESP;2000;1244,753;1655,564;1358,145;1358,145;1655,564
