TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO;ESPECIAL
CORREDERA;01;2700;CORTEN;L.C;1500;665,347;1011,907;762,708;762,708;1011,907;1113,099
CORREDERA;01;2500;CORTEN;L.C;600;446,198;562,761;478,372;478,372;562,761;619,037
CORREDERA;01;2500;CORTEN;L.C;700;460,712;596,702;498,249;498,249;596,702;656,372
CORREDERA;01;2500;CORTEN;L.C;800;475,227;630,644;518,126;518,126;630,644;693,709
CORREDERA;01;2500;CORTEN;L.C;900;502,694;677,539;550,956;550,956;677,539;745,293
CORREDERA;01;2500;CORTEN;L.C;1000;517,209;711,481;570,833;570,833;711,481;782,629
CORREDERA;01;2500;CORTEN;L.C;1100;564,413;799,732;630,522;630,522;799,732;879,705
CORREDERA;01;2500;CORTEN;L.C;1200;579,99;836,701;652,109;652,109;836,701;920,372
CORREDERA;01;2500;CORTEN;L.C;1300;617,967;896,071;696,096;696,096;896,071;985,678
CORREDERA;01;2500;CORTEN;L.C;1400;633,544;933,04;717,682;717,682;933,04;1026,344
CORREDERA;01;2500;CORTEN;L.C;1500;645,909;966,799;736,058;736,058;966,799;1063,478
CORREDERA;01;2700;ROBLE;C.RB;600;527,647;666,272;566,592;609,295;666,272;732,899
CORREDERA;01;2700;ROBLE;C.RB;700;544,229;705,958;589,665;696,337;705,958;776,553
CORREDERA;01;2700;ROBLE;C.RB;800;560,812;745,645;612,738;905,028;745,645;820,209
CORREDERA;01;2700;ROBLE;C.RB;900;590,348;798,284;648,765;505,473;798,284;878,112
CORREDERA;01;2700;ROBLE;C.RB;1000;606,931;837,971;671,838;232,811;837,971;921,768
CORREDERA;01;2700;ROBLE;C.RB;1100;635,193;889,337;706,591;809,596;889,337;978,271
CORREDERA;01;2700;ROBLE;C.RB;1200;651,775;929,023;729,664;810,645;929,023;1021,926
CORREDERA;01;2700;ROBLE;C.RB;1300;690,759;991,111;775,138;517,009;991,111;1090,222
CORREDERA;01;2700;ROBLE;C.RB;1400;707,341;1030,798;798,212;532,74;1030,798;1133,878
CORREDERA;01;2700;ROBLE;C.RB;1500;720,305;1066,866;817,666;884,054;1066,866;1173,552
CORREDERA;01;2500;ROBLE;C.RB;600;507,458;624,021;539,632;539,632;624,021;686,422
CORREDERA;01;2500;ROBLE;C.RB;700;522,388;658,378;559,925;559,925;658,378;724,215
CORREDERA;01;2500;ROBLE;C.RB;800;537,319;692,737;580,217;580,217;692,737;762,011
CORREDERA;01;2500;ROBLE;C.RB;900;565,203;740,048;613,464;613,464;740,048;814,052
CORREDERA;01;2500;ROBLE;C.RB;1000;580,133;774,405;633,758;633,758;774,405;851,845
CORREDERA;01;2500;ROBLE;C.RB;1100;627,754;863,073;693,863;693,863;863,073;949,38
CORREDERA;01;2500;ROBLE;C.RB;1200;643,747;900,458;715,866;715,866;900,458;990,503
CORREDERA;01;2500;ROBLE;C.RB;1300;682,141;960,244;760,269;760,269;960,244;1056,268
CORREDERA;01;2500;ROBLE;C.RB;1400;698,133;997,629;782,271;782,271;997,629;1097,392
CORREDERA;01;2500;ROBLE;C.RB;1500;714,126;1035,014;804,274;804,274;1035,014;1138,516
CORREDERA;01;2700;NOGAL;C.NG;600;533,364;671,987;572,307;572,307;671,987;739,186
CORREDERA;01;2700;NOGAL;C.NG;700;550,149;711,877;595,584;595,584;711,877;783,065
CORREDERA;01;2700;NOGAL;C.NG;800;566,936;751,768;618,861;618,861;751,768;826,945
CORREDERA;01;2700;NOGAL;C.NG;900;596,676;804,611;655,091;655,091;804,611;885,072
CORREDERA;01;2700;NOGAL;C.NG;1000;613,461;844,501;678,368;678,368;844,501;928,951
CORREDERA;01;2700;NOGAL;C.NG;1100;641,928;896,072;713,326;713,326;896,072;985,679
CORREDERA;01;2700;NOGAL;C.NG;1200;658,714;935,963;736,603;736,603;935,963;1029,559
CORREDERA;01;2700;NOGAL;C.NG;1300;697,9;998,253;782,28;782,28;998,253;1098,079
CORREDERA;01;2700;NOGAL;C.NG;1400;714,687;1038,143;805,557;805,557;1038,143;1141,957
CORREDERA;01;2700;NOGAL;C.NG;1500;727,65;1074,211;825,011;825,011;1074,211;1181,632
CORREDERA;01;2500;NOGAL;C.NG;600;513,281;629,844;545,455;545,455;629,844;692,829
CORREDERA;01;2500;NOGAL;C.NG;700;528,432;664,422;565,968;565,968;664,422;730,864
CORREDERA;01;2500;NOGAL;C.NG;800;543,582;698,999;586,481;586,481;698,999;768,899
CORREDERA;01;2500;NOGAL;C.NG;900;571,687;746,532;619,948;619,948;746,532;821,185
CORREDERA;01;2500;NOGAL;C.NG;1000;586,838;781,11;640,461;640,461;781,11;859,221
CORREDERA;01;2500;NOGAL;C.NG;1100;634,678;869,997;700,787;700,787;869,997;956,997
CORREDERA;01;2500;NOGAL;C.NG;1200;650,891;907,603;723,01;723,01;907,603;998,363
CORREDERA;01;2500;NOGAL;C.NG;1300;689,505;967,608;767,634;767,634;967,608;1064,369
CORREDERA;01;2500;NOGAL;C.NG;1400;705,717;1005,214;789,857;789,857;1005,214;1105,735
CORREDERA;01;2500;NOGAL;C.NG;1500;721,93;1042,82;812,08;812,08;1042,82;1147,102
CORREDERA;01;2700;ESPECIAL;ESP;600;520,682;673,168;563,52;563,52;673,168;740,485
CORREDERA;01;2700;ESPECIAL;ESP;700;538,808;716,709;588,786;588,786;716,709;788,38
CORREDERA;01;2700;ESPECIAL;ESP;800;556,935;760,25;614,054;614,054;760,25;836,275
CORREDERA;01;2700;ESPECIAL;ESP;900;589,311;818,041;653,569;653,569;818,041;899,844
CORREDERA;01;2700;ESPECIAL;ESP;1000;607,437;861,582;678,836;678,836;861,582;947,74
CORREDERA;01;2700;ESPECIAL;ESP;1100;638,412;917,972;716,951;716,951;917,972;1009,769
CORREDERA;01;2700;ESPECIAL;ESP;1200;656,54;961,512;742,217;742,217;961,512;1057,663
CORREDERA;01;2700;ESPECIAL;ESP;1300;699,307;1029,695;792,124;792,124;1029,695;1132,665
CORREDERA;01;2700;ESPECIAL;ESP;1400;717,435;1073,236;817,391;817,391;1073,236;1180,56
CORREDERA;01;2700;ESPECIAL;ESP;1500;731,881;1113,099;838,979;838,979;1113,099;1224,409
CORREDERA;01;2500;ESPECIAL;ESP;600;490,818;619,037;526,209;526,209;619,037;680,941
CORREDERA;01;2500;ESPECIAL;ESP;700;506,783;656,372;548,074;548,074;656,372;722,009
CORREDERA;01;2500;ESPECIAL;ESP;800;522,75;693,709;569,939;569,939;693,709;763,079
CORREDERA;01;2500;ESPECIAL;ESP;900;552,964;745,293;606,051;606,051;745,293;819,822
CORREDERA;01;2500;ESPECIAL;ESP;1000;568,93;782,629;627,915;627,915;782,629;860,893
CORREDERA;01;2500;ESPECIAL;ESP;1100;620,855;879,705;693,575;693,575;879,705;967,675
CORREDERA;01;2500;ESPECIAL;ESP;1200;637,989;920,372;717,32;717,32;920,372;1012,409
CORREDERA;01;2500;ESPECIAL;ESP;1300;679,764;985,678;765,705;765,705;985,678;1084,247
CORREDERA;01;2500;ESPECIAL;ESP;1400;696,898;1026,344;789,45;789,45;1026,344;1128,978
CORREDERA;01;2500;ESPECIAL;ESP;1500;710,499;1063,478;809,665;809,665;1063,478;1169,826
FIJO;02;2700;NEGRO MATE TEXT;L.NMT;500;350,852;489,487;389,807;389,807;489,487;538,436
FIJO;02;2700;NEGRO MATE TEXT;L.NMT;1000;424,246;655,286;489,154;489,154;655,286;720,816
FIJO;02;2700;NEGRO MATE TEXT;L.NMT;1500;506,642;853,202;604,003;604,003;853,202;938,523
FIJO;02;2500;NEGRO MATE TEXT;L.NMT;500;323,848;356,022;356,022;356,022;356,022;391,624
FIJO;02;2500;NEGRO MATE TEXT;L.NMT;1000;389,24;442,864;442,864;442,864;442,864;487,151
FIJO;02;2500;NEGRO MATE TEXT;L.NMT;1500;487,07;577,219;577,219;577,219;577,219;634,941
FIJO;02;2700;BLANCO MATE;L.BM03;500;350,852;489,487;389,807;389,807;489,487;538,436
FIJO;02;2700;BLANCO MATE;L.BM03;1000;424,246;655,286;489,154;489,154;655,286;720,816
FIJO;02;2700;BLANCO MATE;L.BM03;1500;506,642;853,202;604,003;604,003;853,202;938,523
FIJO;02;2500;BLANCO MATE;L.BM03;500;350,852;356,022;356,022;356,022;356,022;391,624
FIJO;02;2500;BLANCO MATE;L.BM03;1000;424,246;442,864;442,864;442,864;442,864;487,151
FIJO;02;2500;BLANCO MATE;L.BM03;1500;506,642;577,219;577,219;577,219;577,219;634,941
FIJO;02;2700;CORTEN;L.C;500;350,852;489,487;389,807;389,807;489,487;538,436
FIJO;02;2700;CORTEN;L.C;1000;424,246;655,286;489,154;489,154;655,286;720,816
FIJO;02;2700;CORTEN;L.C;1500;506,642;853,202;604,003;604,003;853,202;938,523
FIJO;02;2500;CORTEN;L.C;500;350,852;356,022;356,022;356,022;356,022;391,624
FIJO;02;2500;CORTEN;L.C;1000;424,246;442,864;442,864;442,864;442,864;487,151
FIJO;02;2500;CORTEN;L.C;1500;506,642;577,219;577,219;577,219;577,219;634,941
FIJO;02;2700;ROBLE;C.RB;500;404,814;543,437;443,758;443,758;543,437;597,781
FIJO;02;2700;ROBLE;C.RB;1000;478,961;710,001;543,868;543,868;710,001;781,001
FIJO;02;2700;ROBLE;C.RB;1500;561,874;908,434;659,235;659,235;908,434;999,278
FIJO;02;2500;ROBLE;C.RB;500;377,186;493,749;409,36;409,36;493,749;543,124
FIJO;02;2500;ROBLE;C.RB;1000;443,324;637,596;496,947;496,947;637,596;701,356
FIJO;02;2500;ROBLE;C.RB;1500;541,671;862,561;631,821;631,821;862,561;948,818
FIJO;02;2700;NOGAL;C.NG;500;410,177;548,801;449,122;449,122;548,801;603,682
FIJO;02;2700;NOGAL;C.NG;1000;485,493;716,533;550,4;550,4;716,533;788,186
FIJO;02;2700;NOGAL;C.NG;1500;569,423;915,984;666,784;666,784;915,984;1007,583
FIJO;02;2500;NOGAL;C.NG;500;382,228;498,791;414,402;414,402;498,791;548,67
FIJO;02;2500;NOGAL;C.NG;1000;449,525;643,797;503,148;503,148;643,797;708,177
FIJO;02;2500;NOGAL;C.NG;1500;548,892;869,78;639,04;639,04;869,78;956,758
FIJO;02;2700;ESPECIAL;ESP;500;385,937;538,436;428,788;428,788;538,436;592,28
